group,n_utterances,wer_greedy,cer_greedy,wer_sf,cer_sf,wer_dra,cer_dra,sf_rel_improv,dra_rel_improv,dra_vs_sf_rel
OVERALL,250,29.560439560439562,6.861626248216833,23.55311355311355,6.069900142653353,23.333333333333332,6.077032810271041,20.322180916976468,21.065675340768287,0.9331259720062176
Tier 1,80,41.06382978723404,9.821428571428571,36.17021276595745,9.910714285714285,34.8936170212766,9.866071428571429,11.917098445595842,15.02590673575129,3.5294117647058907
Tier 2,120,27.307692307692307,6.790490341753343,20.76923076923077,5.720653789004458,20.53846153846154,5.705794947994057,23.94366197183098,24.78873239436619,1.1111111111111072
Tier 3,50,26.979166666666664,5.643564356435644,21.145833333333332,4.8316831683168315,21.458333333333332,4.891089108910891,21.62162162162162,20.46332046332046,-1.4778325123152711
